node,parent,count
BA-31 JETSTR,WASHINGTON DULLES INTL ARPT,41
BA-41 JETSTR,WASHINGTON DULLES INTL ARPT,35
BE-1900,WASHINGTON DULLES INTL ARPT,3
BE-300 KING,WASHINGTON DULLES INTL ARPT,1
C-141B,WASHINGTON DULLES INTL ARPT,1
C-441 CONQUE,WASHINGTON DULLES INTL ARPT,1
C-650,WASHINGTON DULLES INTL ARPT,1
CHALLENGER 300,WASHINGTON DULLES INTL ARPT,1
CL-RJ100/200,WASHINGTON DULLES INTL ARPT,33
DA-900,WASHINGTON DULLES INTL ARPT,1
DC-10,WASHINGTON DULLES INTL ARPT,5
DC-10-10,WASHINGTON DULLES INTL ARPT,3
DC-10-30,WASHINGTON DULLES INTL ARPT,1
DC-8-62,WASHINGTON DULLES INTL ARPT,1
DC-9,WASHINGTON DULLES INTL ARPT,3
DC-9-30,WASHINGTON DULLES INTL ARPT,6
DHC8 DASH 8,WASHINGTON DULLES INTL ARPT,1
EMB-120,WASHINGTON DULLES INTL ARPT,4
FOKKER F100,WASHINGTON DULLES INTL ARPT,5
GULFAERO IV,WASHINGTON DULLES INTL ARPT,2
HAWKER 1000,WASHINGTON DULLES INTL ARPT,1
LEARJET-24,WASHINGTON DULLES INTL ARPT,1
LEARJET-31,WASHINGTON DULLES INTL ARPT,1
LEARJET-55,WASHINGTON DULLES INTL ARPT,1
LEARJET-60,WASHINGTON DULLES INTL ARPT,1
MD-80,WASHINGTON DULLES INTL ARPT,5
MD-82,WASHINGTON DULLES INTL ARPT,1
MD-88,WASHINGTON DULLES INTL ARPT,1
PA-31 NAVAJO,WASHINGTON DULLES INTL ARPT,1
ATR-72,WILL ROGERS WORLD ARPT,5
B-717-200,WILL ROGERS WORLD ARPT,1
B-727,WILL ROGERS WORLD ARPT,8
B-727-100,WILL ROGERS WORLD ARPT,1
B-727-200,WILL ROGERS WORLD ARPT,6
B-737,WILL ROGERS WORLD ARPT,5
B-737-200,WILL ROGERS WORLD ARPT,11
B-737-300,WILL ROGERS WORLD ARPT,6
B-737-500,WILL ROGERS WORLD ARPT,2
BE-90  KING,WILL ROGERS WORLD ARPT,1
C-130H,WILL ROGERS WORLD ARPT,6
CL-601/604,WILL ROGERS WORLD ARPT,1
CL-RJ100/200,WILL ROGERS WORLD ARPT,1
DC-9,WILL ROGERS WORLD ARPT,1
DC-9-30,WILL ROGERS WORLD ARPT,1
DC-9-40,WILL ROGERS WORLD ARPT,1
E-3,WILL ROGERS WORLD ARPT,1
E-3C,WILL ROGERS WORLD ARPT,2
E-6,WILL ROGERS WORLD ARPT,2
EMB-120,WILL ROGERS WORLD ARPT,1
FOKKER F100,WILL ROGERS WORLD ARPT,6
KC-135R,WILL ROGERS WORLD ARPT,2
MD-80,WILL ROGERS WORLD ARPT,6
MD-82,WILL ROGERS WORLD ARPT,1
MU2,WILL ROGERS WORLD ARPT,1
T-1A,WILL ROGERS WORLD ARPT,2
T-38C,WILL ROGERS WORLD ARPT,1
VC-137,WILL ROGERS WORLD ARPT,1
